cluster,symbol,type,timestamp,maxTimeDev,channelCount,time,totalVolume,peakGainInsiders,peakGainPublic,secondsToPeak,maxProfit,initialPrice,initialDayVol,mediumTermPriceIncrease
53,TRIG,pump,1535990406,13,2,2018-09-03T16:00:06Z,366923.667573032,1.27299254712709,1.0364458039987,52.1640000343323,72767.1316680214,0.179817235,135690.903153416,1.21072380486382
34,RDN,pump,1536075000,23,3,2018-09-04T15:30:00Z,169199.563531459,1.13497474088531,1.0440595087271,2.007000207901,12511.05621047,0.5327662178,101920.198244011,1.04937570879675
35,AST,pump,1536334201,0,1,2018-09-07T15:30:01Z,190991.684752873,1.11479109893766,1.11009363241766,66.0090000629425,14355.0668860027,0.0823041219,76314.0027864071,1.06386336911
4,VIBE,pump,1536519629,0,1,2018-09-09T19:00:29Z,304572.323103385,1.36873402510847,1.04993955995714,142.138999938965,83840.4229497428,0.0273379008,41738.0197085376,1.24703190985167
54,DNT,pump,1536588014,12,2,2018-09-10T14:00:14Z,334561.587910177,1.18052609767569,1.00733047976018,2.99500012397766,37925.0224315271,0.02039013,76853.34495927,1.10346848745376
36,ICN,pump,1536679800,14,3,2018-09-11T15:30:00Z,88164.6823789532,1.07163303762902,1.00791599353796,4.00399994850159,4156.04894984967,0.3632248256,42082.0977692197,1.02712911798811
86,ICN,pump,1537381320,0,1,2018-09-19T18:22:00Z,139300.502403613,1.12514182068628,1.07859946433229,403.686999797821,12379.607311886,0.36223418,70600.36788266,1.08948243557848
87,KMD,pump,1537474281,0,1,2018-09-20T20:11:21Z,656517.806845261,1.13966625443427,1.11251573400915,106.122000217438,45778.4987668984,1.09912112,283110.165156769,1.05677156081154
21,POWR,pump,1537541952,0,1,2018-09-21T14:59:12Z,336347.627113907,1,1.02264641139174,-598.565999984741,0,0.1962267257,4699064.10554291,0.949351909897301
5,NAV,pump,1537642841,20,2,2018-09-22T19:00:41Z,1916816.60174449,2.30361274240702,1.95862523058479,36.0120000839233,1514911.04376595,0.269913902,138296.754292277,1.87459404656749
37,OAX,pump,1537884001,13,2,2018-09-25T14:00:01Z,366163.202657232,1.27084726905563,1.28594493315239,291.43499994278,71862.9463797809,0.1618236298,101592.792363352,1.19484613317961
22,TRIG,pump,1538053223,0,1,2018-09-27T13:00:23Z,397796.278167096,1.04949265019479,1.03994743802032,97.0829999446869,20867.5103201051,0.324491797,8222373.06508666,1.02593582941808
